,Name,region,country,type,url
119,"Office of Polar Environment, Health and Safety",Americas,usa,National government,http://dx.doi.org/10.13039/100000175
120,OGC,Americas,usa,National government,http://dx.doi.org/10.13039/100000176
121,Office of Legislative and Public Affairs,Americas,usa,National government,http://dx.doi.org/10.13039/100000177
122,Office of Equal Opportunity Program,Americas,usa,National government,http://dx.doi.org/10.13039/100000178
123,NSF Office of the Director,Americas,usa,National government,http://dx.doi.org/10.13039/100000179
124,US Department of Homeland Security,Americas,usa,National government,http://dx.doi.org/10.13039/100000180
125,AF Office of Scientific Research,Americas,usa,National government,http://dx.doi.org/10.13039/100000181
126,USAMRMC,Americas,usa,National government,http://dx.doi.org/10.13039/100000182
127,US Army Research Office,Americas,usa,National government,http://dx.doi.org/10.13039/100000183
128,Defense Advanced Research Projects Agency,Americas,usa,National government,http://dx.doi.org/10.13039/100000185
129,Department of Commerce,Americas,usa,National government,http://dx.doi.org/10.13039/100000190
130,NOAA,Americas,usa,National government,http://dx.doi.org/10.13039/100000192
131,National Endowment for the Arts,Americas,usa,National government,http://dx.doi.org/10.13039/100000193
132,U.S. Department of State,Americas,usa,Local government,http://dx.doi.org/10.13039/100000194
133,USDA,Americas,usa,National government,http://dx.doi.org/10.13039/100000199
134,USAID,Americas,usa,National government,http://dx.doi.org/10.13039/100000200
135,Department of the Interior,Americas,usa,National government,http://dx.doi.org/10.13039/100000201
136,FWS,Americas,usa,National government,http://dx.doi.org/10.13039/100000202
137,U.S. Geological Survey,Americas,usa,National government,http://dx.doi.org/10.13039/100000203
138,Department of Housing and Urban Development,Americas,usa,National government,http://dx.doi.org/10.13039/100000204
139,Technology Opportunities Program,Americas,usa,National government,http://dx.doi.org/10.13039/100000205
140,Small Business Administration,Americas,usa,National government,http://dx.doi.org/10.13039/100000207
141,IMLS,Americas,usa,National government,http://dx.doi.org/10.13039/100000208
142,NatlAcad of Sciences,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100000209
143,National Geospatial-Intelligence Agency,Americas,usa,National government,http://dx.doi.org/10.13039/100000266
144,FRAXA Research Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000297
145,American Library Association,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000307
146,Carnegie Corp,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000308
147,MCF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000345
148,U.S. Dept. of Veterans Affairs,Americas,usa,National government,http://dx.doi.org/10.13039/100000738
149,Administración Nacional de Archivos y Registros,Americas,usa,National government,http://dx.doi.org/10.13039/100000741
150,United States Defense Threat Reduction Agency,Americas,usa,National government,http://dx.doi.org/10.13039/100000774
151,United States Department of Labor,Americas,usa,National government,http://dx.doi.org/10.13039/100000778
152,Wilson Center,Americas,usa,International organizations,http://dx.doi.org/10.13039/100000810
153,The Osher Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000834
154,United Negro College Fund Special Programs Corporation,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100000848
155,American Society for Engineering Education,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000850
156,BWF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000861
157,"Doris Duke Charitable Foundation, Inc.",Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000862
158,Ellison Medical Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000863
159,The Michael J. Fox Foundation for Parkinson's Research,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000864
160,Bill and Melinda Gates Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000865
161,The International AIDS Vaccine Initiative,Americas,usa,Research institutes and centers,http://dx.doi.org/10.13039/100000866
162,RWJ Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000867
163,The Ewing Marion Kauffman Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000868
164,Susan G. Komen for the Cure,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000869
165,John D. & Catherine T. MacArthur Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000870
166,The Mayo Clinic,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000871
167,McKnight Endowment Fund for Neuroscience,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000872
168,Andrew W. Mellon Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000873
169,BBRF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000874
170,PCT,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000875
171,The Rockefeller Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000877
172,S.L.E. Lupus Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000878
173,Alfred P Sloan Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000879
174,Michael and Susan Dell Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000880
175,BRF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000882
176,Brown Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000883
177,"Cancer Research Institute, Inc.",Americas,usa,Research institutes and centers,http://dx.doi.org/10.13039/100000884
178,Children's Cancer Research Fund,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000885
179,The Duke Endowment,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000886
180,Huntington's Disease Society of America,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000887
181,W.M. Keck Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000888
182,Multiple Sclerosis Foundation Inc,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000889
183,NMSS,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000890
184,NYT,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100000891
185,PCF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000892
186,The Simons Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000893
187,Sma Foundation Inc,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000894
188,St. Jude Medical Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000895
189,"The Coleman Foundation, Inc.",Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000896
190,CF Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000897
191,The Broad Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000898
192,The Intel Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000899
193,California Institute for Regenerative Med,Americas,usa,National government,http://dx.doi.org/10.13039/100000900
194,Juvenile Diabetes Research Foundation International,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000901
195,Pediatric Cancer Research Fndn,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000902
196,Aspen Institute,Americas,usa,Research institutes and centers,http://dx.doi.org/10.13039/100000903
197,Bradley Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000904
198,Commonwealth Fund,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000905
199,"The Carl M. Freeman Foundation, Inc.",Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000906
200,The Getty Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000908
201,John A Hartford Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000909
202,Conrad N. Hilton Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000910
203,JF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000911
204,March of Dimes Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000912
205,James S. McDonnell Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000913
206,"Meadows Foundation, Inc.",Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000914
207,RKMF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000915
208,MetLife Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000916
209,The Moodys Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000917
210,NYCT,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000918
211,The Open Society Foundations,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000919
212,William Penn Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000920
213,Donald W. Reynolds Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000921
214,SVCF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000923
215,JTF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000925
216,WF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000926
217,Harry and Jeanette Weinberg Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000927
218,Robert A. Welch Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000928
219,Annie E. Casey Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000931
220,MCF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000932
221,Hearst Foundations,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000933
222,Heinz Endowments,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000934
223,RSF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000935
224,GBMF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000936
225,MJ Murdock Charitable Trust,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000937
226,Robert E. Leet and Clara M. Guthrie Patterson Trust,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000938
227,AHF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000939
228,Aflac,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100000940
229,Agilent Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000941
230,Alcoa Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000942
231,Albert and Margaret Alkek Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000943
232,Samuel Roberts Noble Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000944
233,Pittsburgh Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000945
234,Akron Community Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000948
235,Akron General Development Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000949
236,Alcon Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000950
237,Paul G. Allen Family Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000952
238,Alliance for Cancer Gene Therapy,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000953
239,Alliant Energy Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000954
240,Alzheimer's Disease and Related Disorders Association Inc,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000957
241,AAAS,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000958
242,The American Association of Orthopaedic Surgeons,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000959
243,American College of Rheumatology Research and Education Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000960
244,American Committee for the Weizmann Institute of Science,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000961
245,American Council of Learned Societies,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000962
246,"American Diabetes Association Research Foundation, Inc.",Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000963
247,Arthritis National Research Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000964
248,American Federation for Aging Research,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000965
249,American Health Assistance Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000967
250,"American Heart Association, Inc.",Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000968
251,AICR,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000969
252,ALS Assoc.,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100000971
253,Argosy Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000976
254,Arizona Community Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000977
255,Arkansas Community Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000978
256,Lance Armstrong Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000979
257,Arthritis Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000980
258,TAF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000981
259,"Conquer Cancer, the ASCO Foundation",Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000982
260,Mary Kay Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000983
261,Asia Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000984
262,Assisi Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000985
263,Atherton Family Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000986
264,Austin Community Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000987
265,Helen Bader Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000988
266,Ball Brothers Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000989
267,Baptist Community Ministries,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000990
268,Barry Community Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000991
269,Baton Rouge Area Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000992
270,Battelle Memorial Institute Inc.,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000993
271,Battle Creek Community Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000994
272,"S. D. Bechtel, Jr. Foundation",Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000996
273,Arnold & Mabel Beckman Foundation Inc,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100000997
